	gram_1	Freq
1063	surpass	10
1064	wrong	51
1065	defect	10
1066	stressor	88
1067	consist	168
1068	arousal	70
1069	parent##child	16
1070	innovate	30
1071	self##inclusive	3
1072	awamleh	3
1073	lead	1177
1074	train	86
1075	scan	7
1076	partici	5
1077	edition	6
1078	correspond	60
1079	ready	23
1080	equip	21
1081	enrollment	3
1082	access	120
1083	cognitive_resource_theory	18
1084	lab	11
1085	synonym	4
1086	michael	6
1087	pairwise	3
1088	characterise	35
1089	non##compliance	4
1090	health##related	6
1091	humiliation	3
1092	leader##follower##group	5
1093	self##sufficient	4
1094	multiplexity	3
1095	skeptical	10
1096	limit	369
1097	theory##base	26
1098	fiedler_contingency_model_leadership	69
1099	side	20
1100	definitional	16
1101	simplistic	13
1102	continua	15
1103	graduation	6
1104	discernable	4
1105	authoritative	25
1106	attendance	14
1107	redefine	13
1108	happiness	9
1109	invoke	22
1110	hope	159
1111	franklin	7
1112	insecurity	19
1113	lexicon	4
1114	mature	77
1115	school##staff	23
1116	evalua	3
1117	orthogonality	3
1118	unravel	4
1119	subordinate	2058
1120	communicative	8
1121	misconduct	5
1122	rotation	9
1123	specify	43
1124	normative	91
1125	theorys	55
1126	provide	1363
1127	pacing	3
1128	current	628
1129	salehzadeh	3
1130	risky	32
1131	program	415
1132	block	37
1133	mackenzie	25
1134	sonsenhein	4
1135	intriguing	24
1136	spiral	5
1137	curve	27
1138	compilation	8
1139	engender	68
1140	creact	4
1141	wang	17
1142	considerateness	14
1143	supplant	3
1144	stance	16
1145	exclusion	27
1146	withdraw	16
1147	self##motivation	7
1148	reconciliation	4
1149	identification	768
1150	formalization	39
1151	hinder	22
1152	physical	216
1153	weierter	12
1154	guarantee	41
1155	approach	4944
1156	friend	24
1157	microleadership	5
1158	recognition##base	6
1159	steward	32
1160	rationality	32
1161	compliant	7
1162	will	16
1163	inappropriate	44
1164	agentic	17
1165	exceed	51
1166	hawkeye	3
1167	shore	3
1168	lyudmila	6
1169	arrogant	7
1170	guard	10
1171	output	93
1172	barker	4
1173	brain	8
1174	introduce	200
1175	andersen	9
1176	ego	40
1177	contradict	27
1178	theistic	4
1179	absence	157
1180	patricia	5
1181	build	379
1182	non##threaten	6
1183	provocative	9
1184	storytelling	6
1185	hare	3
1186	unite	10
1187	cooperative	122
1188	reproduction	7
1189	carson	7
1190	discernible	3
1191	identifiable	21
1192	firm	596
1193	high##uncertainty	25
1194	idealistic	5
1195	bird	6
1196	degree	699
1197	deviant	26
1198	volition	4
1199	plurality	3
1200	yoder	3
1201	ascertain	13
1202	distributive	78
1203	organize	174
1204	destructive	78
1205	country	574
1206	noncompliant	3
1207	commensurate	7
1208	russia	10
1209	traceable	3
1210	australian	36
1211	loop	14
1212	mishra	3
1213	creative	288
1214	undesired	8
1215	deal	323
1216	regressive	3
1217	late	45
1218	exciting	10
1219	person##related	5
1220	arrow	13
1221	situate	30
1222	yield	139
1223	non##technical	4
1224	fore	3
1225	vecchios	6
1226	change##specific	17
1227	non##charismatic_leadership_theory	36
1228	big	28
1229	latent	36
1230	convergent	21
1231	high##light	3
1232	ridge	5
1233	anonymity	102
1234	resume	3
1235	supervisory	151
1236	science	206
1237	yetton	3
1238	erickson	4
1239	redirect	5
1240	cabinet	8
1241	vertical_dyad_linkage_theory##member##member##member	3
1242	u	9
1243	rosener	10
1244	luque	4
1245	most	149
1246	outburst	3
1247	conservation	46
1248	mexican	4
1249	self##center	12
1250	nullify	4
1251	dampen	6
1252	comprehensiveness	6
1253	riggio	6
1254	low##high	15
1255	meaning	141
1256	jobholder	7
1257	counteract	8
1258	mussolini	4
1259	dominican	5
1260	remove	53
1261	accuracy	73
1262	nontransactional	4
1263	vary	299
1264	assign	166
1265	archival	16
1266	miss	40
1267	penetration	3
1268	occasional	6
1269	flatter	10
1270	intelligence	467
1271	iteration	4
1272	lord	151
1273	arch	3
1274	aspiration	59
1275	leeway	5
1276	dyad##level##analysis	3
1277	shin	5
1278	integrate	355
1279	unpaid	3
1280	variabke	3
1281	oneness	9
1282	player	49
1283	mortality	4
1284	dogma	5
1285	monthly	3
1286	roman	3
1287	omnibus	50
1288	participative	493
1289	parsimony	17
1290	complexity	328
1291	minority	65
1292	trait_approach##behavior	11
1293	maintain	395
1294	dependent	248
1295	aptly	5
1296	consideration##initiate	94
1297	insider	17
1298	short	236
1299	eisenberg	3
1300	cross##level##analysis	3
1301	like	61
1302	walumbwa	19
1303	five##factor	22
1304	hypotheses	268
1305	burnout	217
1306	conflict	454
1307	uniformity	13
1308	kaizen	4
1309	belongingness	8
1310	zoom	3
1311	privacy	7
1312	adams	7
1313	synchronization	3
1314	adair	4
1315	outsource	6
1316	defm	4
1317	gully	4
1318	begin	115
1319	approachable	11
1320	initiate	321
1321	inhibitor	3
1322	stylistic	4
1323	final	112
1324	building	345
1325	self##enhancement	20
1326	micro	25
1327	fluctuation	9
1328	strict	15
1329	dvir	6
1330	fault	4
1331	exaggeration	3
1332	complementary	54
1333	jensen	8
1334	retention	34
1335	offset	6
1336	d2	4
1337	lippitt	15
1338	distributor	3
1339	homogenous	25
1340	obedience	40
1341	zakay	4
1342	comprehensive	171
1343	freer	6
1344	liberation	3
1345	conditioning	5
1346	stimulus	30
1347	course	29
1348	houses	8
1349	prayer	5
1350	asians	16
1351	speechwriter	3
1352	engine	5
1353	manipulation	79
1354	levary	4
1355	centralization	32
1356	goodyear	4
1357	shorten	8
1358	insignificant	13
1359	directiveness	95
1360	purpose	406
1361	owner##operator	3
1362	reside	31
1363	permit	67
1364	theorizing	28
1365	mile	3
1366	directive	375
1367	ethnographic	10
1368	equi	16
1369	prefixe	3
1370	bas	3
1371	instrumentation	7
1372	snyder	3
1373	reliability	90
1374	office	84
1375	stress##illness	5
1376	five##point	5
1377	celebrate	14
1378	sherman	3
1379	unconstrained	3
1380	brokerage	6
1381	reduce	431
1382	cohesiveness	56
1383	england	5
1384	trompenaars	8
1385	fi	64
1386	survey##base	7
1387	oversee	5
1388	ip	7
1389	e	14
1390	rowe	3
1391	reactive	16
1392	ill	11
1393	rally	6
1394	prolong	8
1395	vugt	9
1396	enjoyment	8
1397	sahlins	8
1398	hesitant	5
1399	nest	3
1400	sentence	5
1401	artificial	26
1402	misalignment	3
1403	survive	35
1404	cite	95
1405	unmet	9
1406	dissipative	5
1407	synergy	26
1408	formalize	41
1409	percentile	6
1410	kakabadse	7
1411	italian	8
1412	hunter	8
1413	skill	757
1414	expenditure	9
1415	inductive	20
1416	specialize	22
1417	comer	7
1418	cook	3
1419	conscious	31
1420	trichotomy	3
1421	morris	5
1422	end	54
1423	religious	63
1424	collectivist	101
1425	content	240
1426	improvisational	3
1427	illustration	22
1428	finite	5
1429	unlimited	8
1430	maneuver	4
1431	behavior##satisfaction	19
1432	paradise	3
1433	fayol	3
1434	exclusive	30
1435	noteworthy	18
1436	justification	26
1437	basu	8
1438	inclusiveness	9
1439	choi	3
1440	existential	5
1441	category	473
1442	govern	46
1443	analyze	168
1444	center	107
1445	leader##level##analysis	3
1446	hortons	4
1447	inspiration	57
1448	improvingqualityeducation	34
1449	goffman	3
1450	experimental	172
1451	patent	8
1452	cascade	34
1453	razor	5
1454	dark	37
1455	facility	17
1456	privatization	5
1457	protocol	8
1458	traumatic	3
1459	monolith	3
1460	generational	3
1461	understudy	5
1462	drastic	5
1463	tragedy	4
1464	royal	3
1465	oldhams	3
1466	rationalist	3
1467	thread	8
1468	semi	3
1469	mcclelland	32
1470	mischels	6
1471	monotheism	4
1472	heuristic	31
1473	salovey	9
1474	idealized	8
1475	consciousness	28
1476	anecdotal	19
1477	low##level	31
1478	image	149
1479	configurational	7
1480	bell	6
1481	myriad	20
1482	mens	9
1483	favoritism	12
1484	german	32
1485	bilingual	3
1486	rule	345
1487	master	29
1488	arbitrariness	3
1489	diverse	211
1490	bureaucracy	34
1491	attempt	524
1492	manage	353
1493	adapt	160
1494	asia	13
1495	bipolar	12
1496	thai	5
1497	fred	4
1498	triadic	3
1499	dont	5
1500	tapp	4
1501	reformulate	25
1502	benevolent	53
1503	intrinsic	201
1504	capacity	237
1505	forum	14
1506	delphi	3
1507	attractive	44
1508	disengage	4
1509	multiply	5
1510	unaffected	9
1511	muster	4
1512	meta##analysis	4
1513	attentive	25
1514	cross##level	41
1515	appropriate	568
1516	working	81
1517	sommer	3
1518	flourish	28
1519	lever	6
1520	rm	21
1521	leaner	4
1522	diagnostic	12
1523	harvey	5
1524	founder	21
1525	representative	92
1526	fulfilment	3
1527	energetic	14
1528	median	40
1529	protestant	5
1530	incongruent	13
1531	negotiate	65
1532	faure	5
1533	contrasting	13
1534	leader##member##member	39
1535	monotony	3
1536	pathological	11
1537	developer	9
1538	diversity	347
1539	abide	5
1540	ling	3
1541	order	842
1542	beta	4
1543	hypothesize	222
1544	motivational	216
1545	uniqueness	23
1546	pivotal	16
1547	machiavellianism	12
1548	computerize	8
1549	sketchy	3
1550	symbolism	10
1551	esteban	4
1552	chong	3
1553	abdicate	12
1554	nuanced	12
1555	wofford	10
1556	identify	1207
1557	cohen	14
1558	suggest	1345
1559	humane	27
1560	phrase	13
1561	interest	678
1562	immigration	6
1563	impart	4
1564	characterize	413
1565	independence	128
1566	emb	11
1567	monozygotic	3
1568	writings	55
1569	finer	4
1570	revelation	3
1571	keller	12
1572	caricature	3
1573	provider	29
1574	roles	4
1575	mba	16
1576	obligation	136
1577	diffusion	24
1578	peaceful	5
1579	heritage	5
1580	reaffirm	7
1581	texture	3
1582	northouse	8
1583	outward	6
1584	dickson	3
1585	abject	3
1586	compare	419
1587	converge	40
1588	mcwilliams	4
1589	interwoven	8
1590	peterson	11
1591	echoe	5
1592	impute	3
1593	incompatible	13
1594	artistry	3
1595	friedans	4
1596	award	14
1597	trouble	8
1598	twentyfirstcentury	10
1599	centric	15
1600	team	3451
1601	management##exception##active	8
1602	liability	26
1603	dub	3
1604	imminent	4
1605	isolate	49
1606	behavior##subordinate	99
1607	fishing	3
1608	follower##leader##follower	4
1609	impaired	3
1610	distinguishing	33
1611	informal	162
1612	stability	144
1613	enthusiasm	83
1614	georgia	12
1615	interpretation	210
