	gram_1	Freq
1026	logic	67
1027	shallow	5
1028	refining	4
1029	serenity	11
1030	humiliation	3
1031	gurus	3
1032	outlet	11
1033	expressiveness	15
1034	powerful	159
1035	bouwen	3
1036	hearing	3
1037	sapolsky	3
1038	continue	222
1039	pantheism	3
1040	abdication	5
1041	interplay	54
1042	lowest	32
1043	interview	123
1044	finland	3
1045	reproduction	7
1046	recreational	8
1047	heading	5
1048	dissipate	3
1049	admirable	9
1050	intervention	151
1051	pluralism	6
1052	reference	116
1053	redmond	4
1054	problematize	4
1055	proof	9
1056	krackhardt	9
1057	evolution	96
1058	groupthink	12
1059	restrict	68
1060	non##transfer	3
1061	obviate	6
1062	heider	3
1063	self##absorb	3
1064	delivery	36
1065	different	24
1066	hostility	18
1067	woodwork	6
1068	extraneous	7
1069	meaning	141
1070	devote	58
1071	russian	11
1072	rizzo	6
1073	ambitious	25
1074	preclude	30
1075	enhance	649
1076	depth	23
1077	messy	9
1078	phase	228
1079	sheer	6
1080	disability	12
1081	mistrust	7
1082	indifference	28
1083	wilson	3
1084	suite	38
1085	sweeping	4
1086	ill	10
1087	goffman	3
1088	aggressive	58
1089	instil	16
1090	matrix	39
1091	credential	5
1092	examination	158
1093	finance	10
1094	smaller	40
1095	mechanism	382
1096	receptive	19
1097	pale	4
1098	steering	10
1099	conscientious	36
1100	amenable	14
1101	taylors	3
1102	module	4
1103	inventory	48
1104	remedy	13
1105	meyer	15
1106	aversive	12
1107	story	58
1108	specify	39
1109	review	982
1110	category	473
1111	prescriptive	62
1112	learning	368
1113	substitute_leadership_theory	127
1114	innovative	391
1115	reconceptualize	6
1116	true	216
1117	arousal	66
1118	curriculum	34
1119	spreadsheet	3
1120	empowerment	343
1121	advisor	9
1122	microcosm	3
1123	non##threaten	6
1124	precede	28
1125	autonomous	84
1126	most	149
1127	dull	3
1128	goldman	3
1129	guzzo	6
1130	coin	12
1131	fit	270
1132	order	834
1133	protection	30
1134	backlash	5
1135	convenient	9
1136	substantiation	3
1137	increase	1229
1138	galton	5
1139	client	157
1140	auto	3
1141	bradford	3
1142	cohort	3
1143	easier	34
1144	taiwan	28
1145	mitigate	13
1146	learn	828
1147	sickness	12
1148	undervalue	5
1149	wrap	3
1150	loop	14
1151	einstein	5
1152	kramer	4
1153	non##leader	13
1154	tease	5
1155	affair	25
1156	bruce	4
1157	cross##sectional	55
1158	self##knowledge	13
1159	port	4
1160	amplify	13
1161	fascination	5
1162	enlargement	5
1163	agreeable	24
1164	grievance	8
1165	condense	3
1166	node	4
1167	sick	5
1168	late	43
1169	wang	17
1170	transference	23
1171	disadvantaged	3
1172	spanner	3
1173	irrational	3
1174	hero	13
1175	environmental	244
1176	rate	290
1177	distance	114
1178	lippit	3
1179	revolve	7
1180	plentiful	3
1181	collier	4
1182	northwestern	3
1183	leaderless	7
1184	psychosocial	15
1185	stephen	3
1186	stability	141
1187	granovetter	3
1188	non##governmental	5
1189	geographic	16
1190	dubious	4
1191	policy	245
1192	corporate	531
1193	enron	8
1194	glance	3
1195	slevin	3
1196	maccoby	9
1197	social##organizational	16
1198	succinct	4
1199	attachment##related	7
1200	malta	5
1201	dixon	3
1202	clan	25
1203	sponsorship	40
1204	effects	54
1205	sharp	13
1206	jiang	3
1207	area	483
1208	overlook	44
1209	manage	346
1210	underway	3
1211	tejeda	3
1212	difficulty	128
1213	body	137
1214	miss	39
1215	stay	62
1216	value##laden	6
1217	literary	3
1218	thrust	7
1219	social##emotional	37
1220	improvingquality	3
1221	orientated	6
1222	bachelor	7
1223	kelley	10
1224	coalition	32
1225	eastern	10
1226	hardiness	27
1227	kipnis	3
1228	culminate	8
1229	granting	3
1230	minister	14
1231	non##profit	6
1232	mendonca	3
1233	delegate	162
1234	brand	9
1235	schyns	7
1236	self##critical	3
1237	kozlowski	9
1238	appraise	16
1239	thought	65
1240	corrupt	5
1241	mayor	14
1242	excess	10
1243	hogan	20
1244	regularity	8
1245	japanese	79
1246	hopkins	6
1247	introduction	82
1248	command	61
1249	account	386
1250	egalitarian	34
1251	legitimacy	45
1252	lexicon	4
